YBL051c YML094w
YBL051c YNL271c
YBL051c YPL153c
YBL052c YNL258c
YBL053w YJR091c
YBL053w YPR159w
YBL053w YPR165w
YBL054w YNL118c
YBL056w YDR071c
YBL059w YCR099c
YBL059w YJR091c
YBL061c YBL067c
YBL061c YBR234c
YBL061c YCR009c
YBL061c YDL029w
YBL061c YDR129c
YBL061c YDR207c
YBL061c YDR245w
YBL061c YDR377w
YBL061c YDR388w
YBL061c YEL015w
YBL061c YER111c
YBL061c YFL036w
YBL061c YFR019w
YBL061c YGR229c
YBL061c YHR030c
YBL061c YHR107c
YBL061c YIL007c
YBL061c YJL095w
YBL061c YJL148w
YBL061c YKL126w
YBL061c YLL043w
YBL061c YLR087c
YBL061c YLR110c
YBL061c YLR111w
YBL061c YLR268w
YBL061c YLR342w
YBL061c YNL079c
YBL061c YNL233w
YBL061c YNL271c
YBL061c YNL322c
YBL061c YNR051c
YBL061c YOR326w
YBL061c YPL193w
YBL062w YBR234c
YBL062w YDL029w
YBL062w YLR342w
YBL062w YNL298w
YBL062w YOR326w
YBL063w YIL061c
YBL063w YPR141c
YBL066c YDR099w
YBL066c YEL015w
YBL068w YOL061w
YBL069w YGL008c
YBL071c YCL027w
YBL072c YBR023c
YBL072c YLR140w
YBL072c YLR330w
YBL072c YMR047c
YBL075c YLR310c
YBL078c YHR171w
YBL078c YNL223w
YBL078c YOL083w
YBL079w YER105c
YBL079w YLR335w
YBL079w YOR098c
YBL081w YOR167c
YBL082c YEL002c
YBL082c YNL322c
YBL083c YLR113w
YBL083c YLR262c
YBL084c YDL008w
YBL084c YDR118w
YBL084c YFR036w
YBL084c YHR166c
YBL084c YKL022c
YBL084c YLR127c
YBL084c YNL172w
YBL084c YOR249c
YBL085w YBR200w
YBL085w YDR052c
YBL085w YER114c
YBL085w YER158c
YBL085w YIL118w
YBL085w YJR056c
YBL085w YKR055w
YBL085w YLR229c
YBL085w YMR032w
YBL085w YNL078w
YBL086c YLR322w
YBL088c YBR136w
YBL089w YJR091c
YBL089w YLR325c
YBL091c YLR244c
YBL092w YDR026c
YBL092w YDR398w
YBL093c YKL129c
YBL093c YMR109w
YBL093c YOR014w
YBL093c YOR140w
YBL094c YJR091c
YBL094c YMR047c
YBL095w YLR453c
YBL097w YLR373c
YBL099w YDR322c-a
YBL100c YJL070c
YBL100w-a YJL162c
YBL100w-a YNL229c
YBL101c YGR166w
YBL101c YJL062w
YBL101c YJL203w
YBL101c YLR330w
YBL101c YNL192w
YBL102w YFL058w
YBL102w YGR068c
YBL102w YLR039c
YBL102w YLR262c
YBL102w YLR338w
YBL102w YLR453c
YBL102w YOR036w
YBL103c YDR162c
YBL103c YOL067c
YBL104c YJL062w
YBL105c YBR045c
YBL105c YCL027w
YBL105c YDL006w
YBL105c YDL160c
YBL105c YDR017c
YBL105c YDR436w
YBL105c YER111c
YBL105c YGL178w
YBL105c YGR238c
YBL105c YHR030c
YBL105c YHR158c
YBL105c YHR206w
YBL105c YJR075w
YBL105c YLR150w
YBL105c YLR342w
YBL105c YML016c
YBL105c YML109w
YBL105c YMR307w
YBL105c YNR052c
YBL105c YOR008c
YBL105c YPL084w
YBL105c YPR154w
YBL105c YPR159w
YBL105c YPR165w
YBL106c YGR172c
YBL106c YIL118w
YBL106c YLR206w
YBL106c YLR423c
YBL106c YPL174c
YBL107c YML116w
YBL109w YHR114w
YBR003w YER022w
YBR003w YJR022w
YBR008c YMR047c
YBR009c YBR010w
YBR009c YDR332w
YBR009c YGR116w
YBR010w YGR116w
YBR010w YNL030w
YBR012c YPL221w
YBR012w-b YLR116w
YBR012w-b YLR373c
YBR013c YGR292w
YBR014c YBR101c
YBR014c YBR288c
YBR014c YJR091c
YBR014c YPR086w
